Date,Open,High,Low,Close,Volume,,,,,,,,,,,,
6/5/2024 8:00,2330.5,2341.7,2329.98,2338.08,12071,,,,,,,,,,,,
6/5/2024 12:00,2337.96,2338.45,2328.14,2332.89,16372,,,,,,,,,,,,
6/5/2024 16:00,2332.89,2345.93,2329.57,2343.67,18270,,,,,,,,,,,,
6/5/2024 20:00,2343.22,2357.41,2334.24,2354.83,19053,,,,,,,,,,,,
6/6/2024 0:00,2354.82,2356.67,2352.68,2354.82,6688,,,,,,,,,,,,
6/6/2024 4:00,2355.66,2373.11,2354.62,2366.96,9624,,,,,,,,,,,,
6/6/2024 8:00,2366.93,2374.98,2365.18,2367.37,12720,,,,,,,,,,,,
6/6/2024 12:00,2367.56,2368.33,2358.57,2361.71,14060,,,,,,,,,,,,
6/6/2024 16:00,2361.69,2366.89,2353.44,2360.5,16869,,,,,,,,,,,,
6/6/2024 20:00,2360.5,2378.5,2358.6,2372,18144,,,,,,,,,,,,
6/7/2024 0:00,2371.96,2376.18,2369.03,2375.96,7295,,,,,,,,,,,,
6/7/2024 4:00,2376.33,2380.04,2370.23,2370.89,9359,,,,,,,,,,,,
6/7/2024 8:00,2370.95,2387.69,2369.47,2375.42,14514,,,,,,,,,,,,
6/7/2024 12:00,2375.33,2379.32,2337.49,2338.07,19004,,,,,,,,,,,,
6/7/2024 16:00,2337.99,2339.36,2305.12,2309.88,21266,,,,,,,,,,,,
6/7/2024 20:00,2310.31,2321.06,2303.1,2306.82,19248,,,,,,,,,,,,
6/8/2024 0:00,2306.82,2307.17,2286.71,2292.78,10064,,,,,,,,,,,,
6/10/2024 4:00,2289.88,2300.01,2289.81,2297.36,9134,,,,,,,,,,,,
6/10/2024 8:00,2297.35,2301.25,2292.2,2295.75,10950,,,,,,,,,,,,
6/10/2024 12:00,2295.75,2297.51,2287.78,2295.78,15958,,,,,,,,,,,,
6/10/2024 16:00,2295.87,2308.56,2295.37,2305.23,17382,,,,,,,,,,,,
6/10/2024 20:00,2305.19,2313.84,2301.36,2311.55,15738,,,,,,,,,,,,
6/11/2024 0:00,2311.55,2312.27,2308.53,2310.47,5740,,,,,,,,,,,,
6/11/2024 4:00,2310.47,2312.13,2301.73,2303.03,9855,,,,,,,,,,,,
6/11/2024 8:00,2303.02,2304.38,2297.75,2299.62,14513,,,,,,,,,,,,
6/11/2024 12:00,2299.69,2307.77,2298.73,2305.98,17017,,,,,,,,,,,,
6/11/2024 16:00,2305.97,2319.94,2305.3,2316.11,19542,,,,,,,,,,,,
6/11/2024 20:00,2316.1,2317.81,2305.95,2312.58,17369,,,,,,,,,,,,
6/12/2024 0:00,2312.55,2316.57,2312.2,2316.37,6513,,,,,,,,,,,,
6/12/2024 4:00,2316.6,2317.6,2310.88,2313.84,8746,,,,,,,,,,,,
6/12/2024 8:00,2313.88,2316.79,2310.75,2314.21,10704,,,,,,,,,,,,
6/12/2024 12:00,2314.22,2317.75,2310.84,2313.64,13349,,,,,,,,,,,,
6/12/2024 16:00,2313.64,2341.66,2311.65,2327.75,17997,,,,,,,,,,,,
